node_id,lat,lon,location,"lat,lon"
3043832878,5.6507138,-0.1839518,,"5.6507138,-0.1839518"
3043832872,5.6500355,-0.1938749,,"5.6500355,-0.1938749"
3043832875,5.6504024,-0.1939957,,"5.6504024,-0.1939957"
3043832869,5.6497428,-0.1908478,,"5.6497428,-0.1908478"
6009981808,5.6483186,-0.1813884,,"5.6483186,-0.1813884"
9660304006,5.6537462,-0.1869145,,"5.6537462,-0.1869145"
6009981809,5.6478228,-0.1818873,,"5.6478228,-0.1818873"
3043832871,5.6500377,-0.1905671,,"5.6500377,-0.1905671"
9660304005,5.6537489,-0.1870938,,"5.6537489,-0.1870938"
6009981812,5.6473523,-0.1818873,,"5.6473523,-0.1818873"
1159580754,5.6461322,-0.1946363,,"5.6461322,-0.1946363"
6009981803,5.6477193,-0.1818894,,"5.6477193,-0.1818894"
6009981804,5.6479612,-0.1820452,,"5.6479612,-0.1820452"
3043832885,5.6507811,-0.1940002,,"5.6507811,-0.1940002"
6009981795,5.6476953,-0.1813933,,"5.6476953,-0.1813933"
6009476971,5.6548328,-0.184029,,"5.6548328,-0.184029"
3043832883,5.6507783,-0.1802709,,"5.6507783,-0.1802709"
6009981798,5.6475912,-0.18154,,"5.6475912,-0.18154"
5751454643,5.6485402,-0.1856794,,"5.6485402,-0.1856794"
6135686357,5.6486762,-0.1833974,,"5.6486762,-0.1833974"
6009981791,5.6461712,-0.1830018,,"5.6461712,-0.1830018"
3043832839,5.6488572,-0.1904546,,"5.6488572,-0.1904546"
6009981778,5.6464915,-0.1826236,Narnia Fc Park,"5.6464915,-0.1826236"
6009981781,5.6470352,-0.182954,,"5.6470352,-0.182954"
1159580787,5.6454745,-0.1849866,,"5.6454745,-0.1849866"
6009981782,5.6450501,-0.1838346,,"5.6450501,-0.1838346"
3043832861,5.64954,-0.191145,,"5.64954,-0.191145"
3043832862,5.6495066,-0.1932908,,"5.6495066,-0.1932908"
3971492289,5.6501463,-0.1939207,,"5.6501463,-0.1939207"
3043832851,5.6493395,-0.190565,,"5.6493395,-0.190565"
10660943603,5.6497986,-0.1815111,,"5.6497986,-0.1815111"
10660943602,5.6497973,-0.1813942,,"5.6497973,-0.1813942"
10660943601,5.6499741,-0.1815037,,"5.6499741,-0.1815037"
10660943604,5.6499801,-0.1810491,Ghana Dance Ensemble,"5.6499801,-0.1810491"
6720815388,5.6482515,-0.1946877,,"5.6482515,-0.1946877"
6720815389,5.6479936,-0.1928116,,"5.6479936,-0.1928116"
6720815385,5.6483954,-0.1949388,,"5.6483954,-0.1949388"
6544445365,5.6545081,-0.186138,,"5.6545081,-0.186138"
11335171587,5.6556254,-0.1804657,,"5.6556254,-0.1804657"
7223673651,5.6485458,-0.1946306,,"5.6485458,-0.1946306"
6544445366,5.65475,-0.1859908,,"5.65475,-0.1859908"
7223673657,5.6474887,-0.1929983,,"5.6474887,-0.1929983"
7223673656,5.6490045,-0.1947777,,"5.6490045,-0.1947777"
7223673661,5.6473255,-0.1931962,,"5.6473255,-0.1931962"
6009981846,5.6468839,-0.1835838,,"5.6468839,-0.1835838"
4457235458,5.6466938,-0.1881457,,"5.6466938,-0.1881457"
6009981847,5.6454939,-0.1844763,,"5.6454939,-0.1844763"
6720815394,5.6484048,-0.1928791,,"5.6484048,-0.1928791"
11020888403,5.6501343,-0.1884171,,"5.6501343,-0.1884171"
1159580839,5.6512236,-0.1905982,,"5.6512236,-0.1905982"
4847169834,5.6602948,-0.197716,,"5.6602948,-0.197716"
4847169830,5.6599415,-0.1919278,,"5.6599415,-0.1919278"
5892440805,5.6511152,-0.186219,,"5.6511152,-0.186219"
5892440802,5.6509698,-0.1862194,,"5.6509698,-0.1862194"
5892440803,5.6509778,-0.1864357,,"5.6509778,-0.1864357"
8874462498,5.6478134,-0.1821937,,"5.6478134,-0.1821937"
11411745258,5.6565716,-0.1906528,,"5.6565716,-0.1906528"
5892440790,5.6508645,-0.1869755,,"5.6508645,-0.1869755"
5892440791,5.6509369,-0.1869775,,"5.6509369,-0.1869775"
1985802174,5.6451453,-0.1919754,,"5.6451453,-0.1919754"
5892440788,5.6512727,-0.1868351,,"5.6512727,-0.1868351"
5892440789,5.6512754,-0.1872111,,"5.6512754,-0.1872111"
4847169807,5.6564786,-0.1909776,,"5.6564786,-0.1909776"
6720802174,5.6479668,-0.1939821,,"5.6479668,-0.1939821"
5892440794,5.6509397,-0.1868292,,"5.6509397,-0.1868292"
5892440795,5.650943,-0.1872107,,"5.650943,-0.1872107"
5892440792,5.6508675,-0.1870627,,"5.6508675,-0.1870627"
8874462489,5.6493976,-0.1816176,,"5.6493976,-0.1816176"
5892440793,5.650937,-0.1870683,,"5.650937,-0.1870683"
6012858262,5.6448397,-0.1839795,,"5.6448397,-0.1839795"
4847169821,5.6590757,-0.1919936,,"5.6590757,-0.1919936"
6285313885,5.6561753,-0.1814883,,"5.6561753,-0.1814883"
6720652948,5.6514542,-0.1873791,Balme Library,"5.6514542,-0.1873791"
6720652944,5.6530461,-0.1879859,UGBS Extension,"5.6530461,-0.1879859"
4451501907,5.6532666,-0.1873737,,"5.6532666,-0.1873737"
4451501906,5.6532671,-0.1867039,,"5.6532671,-0.1867039"
6720652956,5.651662,-0.1878433,Cedi Conference Center,"5.651662,-0.1878433"
11411440166,5.6521948,-0.1859307,,"5.6521948,-0.1859307"
11411440167,5.6518586,-0.1862285,,"5.6518586,-0.1862285"
11411440165,5.6518591,-0.185926,,"5.6518591,-0.185926"
4451501892,5.6528865,-0.1864686,,"5.6528865,-0.1864686"
4451501895,5.6529279,-0.1876225,,"5.6529279,-0.1876225"
4451501894,5.6529186,-0.1868708,,"5.6529186,-0.1868708"
6720652935,5.6526279,-0.1890831,,"5.6526279,-0.1890831"
4451501889,5.6527451,-0.1872221,,"5.6527451,-0.1872221"
6747649061,5.6444215,-0.1938486,,"5.6444215,-0.1938486"
4452590450,5.6505579,-0.1850205,,"5.6505579,-0.1850205"
1279838814,5.6505301,-0.1849679,,"5.6505301,-0.1849679"
1279838815,5.6444464,-0.1849805,,"5.6444464,-0.1849805"
4451501901,5.6531041,-0.1868708,,"5.6531041,-0.1868708"
6720652940,5.6530577,-0.1890872,,"5.6530577,-0.1890872"
6300118428,5.6538793,-0.1849548,,"5.6538793,-0.1849548"
6747649064,5.6447026,-0.193723,,"5.6447026,-0.193723"
4452590462,5.6507406,-0.184963,,"5.6507406,-0.184963"
4451501897,5.6529292,-0.1872302,,"5.6529292,-0.1872302"
4452590458,5.6507121,-0.18488,,"5.6507121,-0.18488"
8298530945,5.6487136,-0.1834483,,"5.6487136,-0.1834483"
8298530946,5.6481419,-0.184104,,"5.6481419,-0.184104"
6300118438,5.6520574,-0.181764,,"5.6520574,-0.181764"
6300118433,5.6514804,-0.1824796,,"5.6514804,-0.1824796"
6300118432,5.6532675,-0.1837011,,"5.6532675,-0.1837011"
6720831164,5.6455883,-0.1922068,,"5.6455883,-0.1922068"
6720831165,5.6448137,-0.1921629,,"5.6448137,-0.1921629"
1279838820,5.6507193,-0.1850136,,"5.6507193,-0.1850136"
6720831160,5.6453154,-0.1924114,,"5.6453154,-0.1924114"
6544469029,5.6604381,-0.1862351,,"5.6604381,-0.1862351"
6300118454,5.6457377,-0.1858548,Mensah Sarbah Annex A,"5.6457377,-0.1858548"
6300118448,5.6449521,-0.1860896,,"5.6449521,-0.1860896"
6544469024,5.6601353,-0.1867138,,"5.6601353,-0.1867138"
6542041042,5.6524871,-0.1905132,,"5.6524871,-0.1905132"
6542041043,5.6524299,-0.1900153,Volta Hall Annex,"5.6524299,-0.1900153"
6542041040,5.6525737,-0.1904664,,"5.6525737,-0.1904664"
6542041041,5.6529536,-0.1910669,,"5.6529536,-0.1910669"
6544416848,5.6539235,-0.1822554,,"5.6539235,-0.1822554"
4504572475,5.6599285,-0.1932129,,"5.6599285,-0.1932129"
6720831184,5.6459616,-0.1907027,,"5.6459616,-0.1907027"
7223675102,5.6450355,-0.1958553,,"5.6450355,-0.1958553"
6720831174,5.6466673,-0.1919592,,"5.6466673,-0.1919592"
4457235452,5.6459658,-0.1882275,Sarbah Field,"5.6459658,-0.1882275"
6720831173,5.6452678,-0.1915875,,"5.6452678,-0.1915875"
1159581515,5.6510415,-0.1939641,,"5.6510415,-0.1939641"
6720831169,5.6445915,-0.1920971,,"5.6445915,-0.1920971"
6544416842,5.6516229,-0.1849798,,"5.6516229,-0.1849798"
6720831180,5.6462328,-0.1912194,,"5.6462328,-0.1912194"
6720831181,5.6461556,-0.1905152,,"5.6461556,-0.1905152"
6763974006,5.6596972,-0.1930869,,"5.6596972,-0.1930869"
11335171583,5.6558303,-0.1803919,,"5.6558303,-0.1803919"
6720831176,5.6464758,-0.1919874,,"5.6464758,-0.1919874"
6763974005,5.6597986,-0.1930493,,"5.6597986,-0.1930493"
6544416845,5.6516393,-0.1821329,,"5.6516393,-0.1821329"
6720831177,5.6464526,-0.1911457,,"5.6464526,-0.1911457"
6763974004,5.6598307,-0.1931298,,"5.6598307,-0.1931298"
1159580542,5.6505139,-0.1802545,,"5.6505139,-0.1802545"
5713101548,5.6533567,-0.182493,,"5.6533567,-0.182493"
5713101547,5.6541921,-0.1827094,,"5.6541921,-0.1827094"
4212969842,5.6517894,-0.1911517,,"5.6517894,-0.1911517"
7223675105,5.6452303,-0.1959729,,"5.6452303,-0.1959729"
5713101556,5.6535361,-0.1828215,,"5.6535361,-0.1828215"
7223675107,5.6463033,-0.1945353,,"5.6463033,-0.1945353"
7223675108,5.6463577,-0.192939,,"5.6463577,-0.192939"
7223675111,5.6465645,-0.1931387,,"5.6465645,-0.1931387"
5713101565,5.6535348,-0.1826337,,"5.6535348,-0.1826337"
3043832814,5.6479585,-0.192395,,"5.6479585,-0.192395"
3971492402,5.6542705,-0.1890947,,"5.6542705,-0.1890947"
5448715862,5.6495851,-0.1950637,,"5.6495851,-0.1950637"
11411367610,5.6497826,-0.1849781,,"5.6497826,-0.1849781"
11411367615,5.6477994,-0.1879446,,"5.6477994,-0.1879446"
11411367614,5.649078,-0.1852857,,"5.649078,-0.1852857"
3043832821,5.6481987,-0.1896551,,"5.6481987,-0.1896551"
11411360399,5.6453317,-0.1901123,,"5.6453317,-0.1901123"
3043832799,5.6466986,-0.1926055,,"5.6466986,-0.1926055"
1159580577,5.6445544,-0.1911516,,"5.6445544,-0.1911516"
6747640049,5.6451672,-0.1967372,,"5.6451672,-0.1967372"
6747640050,5.644571,-0.1952434,,"5.644571,-0.1952434"
6747640052,5.6449377,-0.1952234,,"5.6449377,-0.1952234"
4451500947,5.6507458,-0.1871984,,"5.6507458,-0.1871984"
11069389085,5.6505553,-0.1880903,,"5.6505553,-0.1880903"
